"cluster" "jaccard" "cohort"
"G_-1" 0.01574468 "G"
"G_-1" 0.01257862 "G"
"G_-1" 0.00875576 "G"
"G_-1" 0.007626738 "G"
"G_0" 0.0595736202430763 "G"
"G_0" 0.0571649285438393 "G"
"G_0" 0.0559589162387108 "G"
"G_0" 0.0559471365638767 "G"
"G_0" 0.055920468666785 "G"
"G_1" 0.0243021346469622 "G"
"G_1" 0.0242997 "G"
"G_1" 0.0235696635620604 "G"
"G_1" 0.0234458259325044 "G"
"G_1" 0.0234042553191489 "G"
"G_10" 0.0444212176639665 "G"
"G_10" 0.0442231998147719 "G"
"G_10" 0.0429094714809 "G"
"G_10" 0.0420017873100983 "G"
"G_10" 0.0418616104407781 "G"
"G_11" 0.0360526923965796 "G"
"G_11" 0.0360341595500937 "G"
"G_11" 0.0336180766051254 "G"
"G_11" 0.0335521517140773 "G"
"G_11" 0.0334987593052109 "G"
"G_12" 0.0292096219931271 "G"
"G_12" 0.0285014862738241 "G"
"G_12" 0.0282790697674419 "G"
"G_12" 0.0273518441773726 "G"
"G_12" 0.0273157065312555 "G"
"G_13" 0.0599449685534591 "G"
"G_13" 0.0590495449949444 "G"
"G_13" 0.0578661844484629 "G"
"G_13" 0.0574377383890509 "G"
"G_13" 0.0573076229951342 "G"
"G_14" 0.0422535211267606 "G"
"G_14" 0.0421205519244735 "G"
"G_14" 0.0404109589041096 "G"
"G_14" 0.0399558498896247 "G"
"G_14" 0.0398198625266651 "G"
"G_15" 0.0297072023936739 "G"
"G_15" 0.0290480863591757 "G"
"G_15" 0.0288153681963714 "G"
"G_15" 0.0287257549717653 "G"
"G_15" 0.0285603264037303 "G"
"G_16" 0.0486461679669573 "G"
"G_16" 0.0486393829012213 "G"
"G_16" 0.048285376428853 "G"
"G_16" 0.0475138121546961 "G"
"G_16" 0.0469387755102041 "G"
"G_17" 0.045949989313956 "G"
"G_17" 0.0443758898908401 "G"
"G_17" 0.0435809923864531 "G"
"G_17" 0.0435684647302904 "G"
"G_17" 0.0433190970103722 "G"
"G_18" 0.0354942075425191 "G"
"G_18" 0.0336355659549576 "G"
"G_18" 0.0327673518022043 "G"
"G_18" 0.0326340326340326 "G"
"G_18" 0.0323529411764706 "G"
"G_19" 0.02310116 "G"
"G_19" 0.01766091 "G"
"G_19" 0.0136239782016349 "G"
"G_19" 0.01183432 "G"
"G_19" 0.0114942528735632 "G"
"G_2" 0.064521620701396 "G"
"G_2" 0.0634162973065121 "G"
"G_2" 0.0621212121212121 "G"
"G_2" 0.0617652918908149 "G"
"G_2" 0.0616241121136494 "G"
"G_20" 0.0635416666666667 "G"
"G_20" 0.0633642569578155 "G"
"G_20" 0.06242948476871 "G"
"G_20" 0.0622360932623462 "G"
"G_20" 0.0611141157382369 "G"
"G_21" 0.0397240225799707 "G"
"G_21" 0.037260151717983 "G"
"G_21" 0.0362833557304665 "G"
"G_21" 0.0360337337081523 "G"
"G_21" 0.0359315589353612 "G"
"G_22" 0.0515245079120031 "G"
"G_22" 0.0488606035721618 "G"
"G_22" 0.0487215623112543 "G"
"G_22" 0.0483499616270146 "G"
"G_22" 0.0478922424544774 "G"
"G_23" 0.0189125295508274 "G"
"G_23" 0.0161744022503516 "G"
"G_23" 0.0143408714837286 "G"
"G_23" 0.0140845070422535 "G"
"G_23" 0.0132601737540009 "G"
"G_3" 0.0363101079489696 "G"
"G_3" 0.0362133438299547 "G"
"G_3" 0.0356833910034602 "G"
"G_3" 0.0355342741935484 "G"
"G_3" 0.0353163758671432 "G"
"G_4" 0.0454049334206505 "G"
"G_4" 0.0434322033898305 "G"
"G_4" 0.0418310970797159 "G"
"G_4" 0.0417482061317678 "G"
"G_4" 0.0413846954711088 "G"
"G_5" 0.0381663555278988 "G"
"G_5" 0.0376625897883906 "G"
"G_5" 0.0370607028753994 "G"
"G_5" 0.0351974970668752 "G"
"G_5" 0.035034272658035 "G"
"G_6" 0.04706132879046 "G"
"G_6" 0.0463864154069165 "G"
"G_6" 0.046108194476147 "G"
"G_6" 0.045630317092034 "G"
"G_6" 0.0455602946878635 "G"
"G_7" 0.0441707368868125 "G"
"G_7" 0.0429042904290429 "G"
"G_7" 0.0426065162907268 "G"
"G_7" 0.041320406278855 "G"
"G_7" 0.0412604851507595 "G"
"G_8" 0.0343277482631794 "G"
"G_8" 0.0331958762886598 "G"
"G_8" 0.0328828828828829 "G"
"G_8" 0.0320576540755467 "G"
"G_8" 0.0319055944055944 "G"
"G_9" 0.0406068719321731 "G"
"G_9" 0.0383370674632811 "G"
"G_9" 0.0382775119617225 "G"
"G_9" 0.0371088341179729 "G"
"G_9" 0.036697247706422 "G"
"H_0" 0.327433628318584 "H"
"H_0" 0.138513513513513 "H"
"H_0" 0.0210084033613445 "H"
"H_0" 0.0202578268876611 "H"
"H_0" 0.019774011299435 "H"
"H_1" 0.0517241379310345 "H"
"H_1" 0.0489296636085627 "H"
"H_1" 0.0483091787439613 "H"
"H_1" 0.0441176470588235 "H"
"H_1" 0.04347826 "H"
"H_10" 0.306393244873341 "H"
"H_10" 0.298798798798799 "H"
"H_10" 0.294545454545454 "H"
"H_10" 0.284340659340659 "H"
"H_10" 0.265129682997118 "H"
"H_11" 0.050131926121372 "H"
"H_11" 0.0495919648462021 "H"
"H_11" 0.0494677520350657 "H"
"H_11" 0.0491803278688525 "H"
"H_11" 0.0464058234758872 "H"
"H_2" 0.227848101265823 "H"
"H_2" 0.226890756302521 "H"
"H_2" 0.206235011990408 "H"
"H_2" 0.196428571428571 "H"
"H_2" 0.189591078066914 "H"
"H_3" 0.291208791208791 "H"
"H_3" 0.277427490542245 "H"
"H_3" 0.263618677042802 "H"
"H_3" 0.258503401360544 "H"
